epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,808.564,1.44122,0.84053,0.86624,0.90234,0.96786,0.97512,0.66609,1.29084,0.95932,0.83108,0.000615781,0.000615781,0.000615781
43,828.837,1.49082,0.8138,0.86529,0.90513,0.96985,0.97759,0.67403,1.28573,0.85982,0.83061,0.000600313,0.000600313,0.000600313
44,850.311,1.42653,0.79734,0.87058,0.89701,0.9659,0.97741,0.68058,1.26155,0.80625,0.82907,0.000584844,0.000584844,0.000584844
45,869.539,1.42665,0.79799,0.87904,0.90771,0.96143,0.97771,0.68702,1.23818,0.77698,0.82812,0.000569375,0.000569375,0.000569375
46,889.008,1.4216,0.78361,0.86226,0.91187,0.97075,0.9785,0.68071,1.24153,0.76772,0.8327,0.000553906,0.000553906,0.000553906
47,909.143,1.38998,0.77018,0.85742,0.9125,0.98374,0.98158,0.67412,1.29811,0.82556,0.83454,0.000538438,0.000538438,0.000538438
48,927.863,1.41392,0.81471,0.85502,0.91694,0.97926,0.98287,0.67374,1.31184,0.89883,0.8329,0.000522969,0.000522969,0.000522969
49,946.606,1.43781,0.79207,0.86109,0.92015,0.98263,0.98347,0.67728,1.28726,0.87286,0.83177,0.0005075,0.0005075,0.0005075
50,965.217,1.41407,0.78731,0.86577,0.92618,0.97951,0.98246,0.67616,1.26462,0.79664,0.83226,0.000492031,0.000492031,0.000492031
51,983.998,1.44062,0.74946,0.85723,0.92073,0.98133,0.98236,0.67659,1.26346,0.7552,0.83246,0.000476562,0.000476562,0.000476562
52,1002.97,1.43683,0.77195,0.88019,0.90948,0.98369,0.98255,0.68676,1.23053,0.74725,0.82859,0.000461094,0.000461094,0.000461094
53,1021.83,1.39813,0.73808,0.86086,0.90724,0.97578,0.98327,0.68701,1.22503,0.75575,0.82754,0.000445625,0.000445625,0.000445625
54,1040.7,1.40125,0.77869,0.86963,0.89907,0.97588,0.9837,0.68091,1.26764,0.77999,0.82945,0.000430156,0.000430156,0.000430156
55,1059.44,1.44943,0.7576,0.85026,0.89889,0.97663,0.9836,0.68253,1.2895,0.8005,0.82985,0.000414688,0.000414688,0.000414688
56,1078.22,1.44616,0.75831,0.86051,0.90573,0.98057,0.98347,0.68624,1.28776,0.81358,0.82892,0.000399219,0.000399219,0.000399219
57,1096.95,1.37969,0.72912,0.84785,0.91369,0.98279,0.98431,0.69166,1.27308,0.79763,0.82802,0.00038375,0.00038375,0.00038375
58,1115.79,1.37972,0.72184,0.8458,0.92001,0.98402,0.98531,0.69587,1.25747,0.77903,0.82676,0.000368281,0.000368281,0.000368281
59,1134.54,1.39651,0.74234,0.86563,0.92063,0.98902,0.9853,0.70288,1.24179,0.76548,0.82516,0.000352812,0.000352812,0.000352812
60,1154.14,1.42355,0.7557,0.88017,0.92261,0.98808,0.98467,0.69978,1.2406,0.76039,0.82556,0.000337344,0.000337344,0.000337344
61,1172.96,1.42909,0.74452,0.85321,0.92434,0.98906,0.98463,0.69623,1.24293,0.75733,0.82728,0.000321875,0.000321875,0.000321875
62,1191.57,1.43669,0.74459,0.85722,0.92608,0.9879,0.98499,0.69595,1.2327,0.74546,0.82794,0.000306406,0.000306406,0.000306406
63,1210.25,1.39152,0.72306,0.85684,0.93026,0.99246,0.9853,0.69718,1.22957,0.73169,0.82901,0.000290937,0.000290937,0.000290937
64,1228.94,1.35864,0.70336,0.85692,0.93409,0.98883,0.98562,0.69796,1.22828,0.71964,0.83014,0.000275469,0.000275469,0.000275469
65,1247.67,1.36525,0.72806,0.84053,0.93597,0.9894,0.98601,0.69627,1.23001,0.71157,0.83079,0.00026,0.00026,0.00026
66,1266.26,1.40321,0.73205,0.86173,0.95996,0.97007,0.98628,0.69648,1.21691,0.70349,0.82991,0.000244531,0.000244531,0.000244531
67,1284.91,1.38799,0.70212,0.86401,0.95956,0.97623,0.98627,0.70084,1.20884,0.701,0.82843,0.000229063,0.000229063,0.000229063
68,1303.6,1.34302,0.68002,0.8598,0.95779,0.98192,0.98622,0.69976,1.20833,0.69837,0.82659,0.000213594,0.000213594,0.000213594
69,1322.23,1.36837,0.71048,0.85235,0.95764,0.98578,0.98629,0.70093,1.20544,0.69688,0.8253,0.000198125,0.000198125,0.000198125
