epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0484,2.58722,4.16167,1.91852,0.00011,0.00228,6e-05,1e-05,2.25889,3.91758,1.56283,8.75e-05,8.75e-05,8.75e-05
2,68.0419,2.03759,3.40059,1.4401,0.0192,0.57192,0.15815,0.04746,1.78897,3.65899,1.22215,0.00018518,0.00018518,0.00018518
3,101.941,1.82451,2.3483,1.26009,0.29748,0.71665,0.51028,0.21575,1.70481,3.13566,1.1794,0.000280384,0.000280384,0.000280384
4,135.96,1.78093,1.78117,1.30609,0.03628,0.97703,0.58813,0.26657,1.70569,2.98307,1.28155,0.000373114,0.000373114,0.000373114
5,169.856,1.73192,1.56201,1.30242,0.76239,0.40198,0.59101,0.28375,1.62553,2.88238,1.24838,0.000463369,0.000463369,0.000463369
6,204.175,1.72257,1.35322,1.29851,0.02868,0.81519,0.40641,0.18903,1.61581,3.35386,1.34408,0.000551148,0.000551148,0.000551148
7,239.083,1.6941,1.18961,1.34046,0.03382,0.96093,0.80261,0.38768,1.63051,2.87526,1.3228,0.000636453,0.000636453,0.000636453
8,273.288,1.66895,1.12161,1.32421,0.03485,0.97301,0.92642,0.42078,1.72388,2.84495,1.42614,0.000719283,0.000719283,0.000719283
9,307.514,1.64889,1.08264,1.31262,0.99637,0.30703,0.97285,0.47029,1.69928,2.29123,1.429,0.000799638,0.000799638,0.000799638
10,341.23,1.68109,1.04455,1.32514,0.93129,0.24368,0.96437,0.4665,1.67962,2.38376,1.41352,0.000877517,0.000877517,0.000877517
11,374.911,1.66256,1.08674,1.30232,0.97307,0.96621,0.98035,0.49087,1.64033,1.5504,1.38833,0.000952922,0.000952922,0.000952922
12,408.855,1.622,1.00363,1.33881,0.93868,0.94779,0.9837,0.51327,1.58426,1.38738,1.35865,0.00102585,0.00102585,0.00102585
13,443.054,1.6504,0.99062,1.29073,0.91526,0.94447,0.97503,0.50052,1.61406,1.40723,1.34521,0.00106437,0.00106437,0.00106437
14,477.169,1.64172,1.04537,1.31627,0.90518,0.94881,0.97166,0.50339,1.59463,1.32413,1.32227,0.00104891,0.00104891,0.00104891
15,511.015,1.64354,0.99663,1.29842,0.9614,0.97223,0.98925,0.4907,1.65279,1.03788,1.39965,0.00103344,0.00103344,0.00103344
16,545.293,1.64934,0.9523,1.25856,0.98881,0.99142,0.98845,0.5086,1.62203,0.96192,1.38344,0.00101797,0.00101797,0.00101797
