epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.8266,2.52953,4.48678,1.41494,0,0,0,0,2.44629,4.32307,1.2242,6.25e-05,6.25e-05,6.25e-05
2,60.9051,2.50116,4.11658,1.17566,0.0065,0.49713,0.25738,0.15989,2.35439,4.17119,1.03019,0.000135798,0.000135798,0.000135798
3,91.4616,2.40916,3.23697,1.08136,0.00667,0.5,0.24427,0.14251,1.74437,3.91888,0.93511,0.000207241,0.000207241,0.000207241
4,121.13,2.24973,2.32413,0.99681,0.00753,0.49713,0.24541,0.11824,1.73075,3.64327,0.92638,0.000276827,0.000276827,0.000276827
5,153.172,2.08953,1.94071,0.99835,0.00908,0.50474,0.2326,0.12119,1.84793,3.45393,0.95865,0.000344556,0.000344556,0.000344556
6,183.018,2.09243,1.65213,0.988,0.0117,0.3886,0.09866,0.05282,2.02618,3.51418,1.02444,0.00041043,0.00041043,0.00041043
7,212.051,1.99281,1.49372,0.95398,0.00222,0.02452,0.00808,0.00294,2.30376,3.95495,1.15694,0.000474447,0.000474447,0.000474447
8,240.764,1.896,1.39495,0.9443,0.00418,0.0433,0.01665,0.00566,2.218,3.78031,1.07988,0.000536608,0.000536608,0.000536608
9,269.722,1.83995,1.28249,0.92637,0.05366,0.99435,0.69763,0.44606,1.60545,2.54768,0.90213,0.000596913,0.000596913,0.000596913
10,298.823,1.81855,1.23038,0.93897,0.33637,0.99242,0.75704,0.50754,1.6049,2.26737,0.90483,0.000655361,0.000655361,0.000655361
11,327.687,1.77803,1.20916,0.93925,0.05066,0.99565,0.72521,0.46541,1.4894,2.41481,0.8798,0.000711953,0.000711953,0.000711953
12,356.478,1.77557,1.19875,0.90734,0.05077,0.99502,0.74233,0.4659,1.53628,2.49025,0.88704,0.000766689,0.000766689,0.000766689
13,385.349,1.7195,1.13812,0.92815,0.78435,0.37635,0.75528,0.47122,1.69789,2.10188,0.9242,0.000819569,0.000819569,0.000819569
14,414.085,1.76895,1.17916,0.91994,0.87465,0.42215,0.80404,0.52564,1.50778,2.28212,0.88059,0.000870592,0.000870592,0.000870592
15,443.026,1.78148,1.12638,0.92443,0.88666,0.45303,0.81495,0.53336,1.51579,2.32875,0.87972,0.000919759,0.000919759,0.000919759
16,471.999,1.73606,1.13984,0.92851,0.89437,0.65676,0.88175,0.52521,1.71648,1.93904,0.91867,0.00096707,0.00096707,0.00096707
17,500.932,1.68799,1.04717,0.91921,0.90332,0.76567,0.91356,0.5581,1.61844,1.65131,0.90743,0.0010025,0.0010025,0.0010025
18,529.907,1.63813,1.08876,0.91514,0.8796,0.71743,0.93272,0.60538,1.49402,1.93225,0.87867,0.000987031,0.000987031,0.000987031
19,559.092,1.61269,1.06154,0.895,0.91826,0.7068,0.94939,0.60558,1.48645,1.82361,0.87559,0.000971562,0.000971562,0.000971562
20,588.474,1.6681,1.01285,0.91301,0.88484,0.8648,0.94909,0.59647,1.52412,1.40334,0.88229,0.000956094,0.000956094,0.000956094
21,617.731,1.65195,1.00237,0.9174,0.8554,0.86978,0.96167,0.62278,1.48609,1.38234,0.87638,0.000940625,0.000940625,0.000940625
22,646.827,1.58465,0.92914,0.89696,0.9294,0.89396,0.9629,0.61646,1.50242,1.33213,0.88058,0.000925156,0.000925156,0.000925156
23,677.218,1.58689,0.92389,0.90476,0.92026,0.92184,0.96897,0.63629,1.44165,1.1828,0.87308,0.000909688,0.000909688,0.000909688
24,707.555,1.54151,0.85918,0.89252,0.9141,0.91487,0.96949,0.64117,1.43088,1.1523,0.87194,0.000894219,0.000894219,0.000894219
25,736.72,1.60636,0.86337,0.91046,0.92754,0.91177,0.96662,0.61944,1.46828,1.20903,0.87729,0.00087875,0.00087875,0.00087875
26,765.77,1.58152,0.87676,0.8923,0.92844,0.93651,0.97525,0.64081,1.44032,1.11838,0.8724,0.000863281,0.000863281,0.000863281
27,795.468,1.58472,0.86041,0.88588,0.92981,0.95121,0.97537,0.64175,1.41549,1.07038,0.86799,0.000847813,0.000847813,0.000847813
28,824.686,1.60569,0.85094,0.89829,0.93265,0.95632,0.9738,0.61313,1.50407,1.11554,0.87803,0.000832344,0.000832344,0.000832344
29,853.794,1.59533,0.84906,0.89953,0.90628,0.95735,0.97519,0.61075,1.50333,1.05417,0.87916,0.000816875,0.000816875,0.000816875
30,882.76,1.54915,0.82009,0.89231,0.93043,0.94809,0.97574,0.63485,1.43304,1.02558,0.86938,0.000801406,0.000801406,0.000801406
31,912.216,1.56318,0.85664,0.88966,0.92603,0.94943,0.97597,0.62862,1.44679,0.96626,0.87123,0.000785938,0.000785938,0.000785938
32,941.753,1.54513,0.81505,0.90792,0.92912,0.97598,0.97815,0.6195,1.48725,0.891,0.8768,0.000770469,0.000770469,0.000770469
33,971.324,1.56112,0.80594,0.89507,0.93321,0.97861,0.97744,0.62536,1.4613,0.86867,0.87,0.000755,0.000755,0.000755
34,1000.96,1.57429,0.79187,0.90551,0.92844,0.98724,0.97803,0.62043,1.47331,0.83341,0.8706,0.000739531,0.000739531,0.000739531
35,1030.53,1.54457,0.79664,0.88447,0.93231,0.98231,0.97714,0.63918,1.41174,0.81043,0.86191,0.000724062,0.000724062,0.000724062
36,1060.1,1.53667,0.79073,0.89693,0.9267,0.9855,0.97736,0.62638,1.4118,0.81321,0.86325,0.000708594,0.000708594,0.000708594
