epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.6635,2.14922,5.00272,1.49831,0,0,0,0,1.92194,4.89037,1.24467,4.5e-05,4.5e-05,4.5e-05
2,88.6265,1.82443,4.3694,1.15462,0.04203,0.0537,0.05444,0.03912,1.6883,4.65248,1.05588,9.38244e-05,9.38244e-05,9.38244e-05
3,131.689,1.69585,3.75486,1.06937,1,0.06018,0.07406,0.05069,1.64591,4.33977,1.03768,0.000141411,0.000141411,0.000141411
4,174.869,1.66335,2.76564,1.03486,0.99769,0.06658,0.16172,0.10011,1.58323,3.8011,1.00973,0.000187761,0.000187761,0.000187761
5,217.955,1.56974,2.17034,1.00891,1,0.07081,0.19992,0.11922,1.46271,3.55513,0.993,0.000232873,0.000232873,0.000232873
6,261.135,1.59298,2.06819,1.05356,1,0.11561,0.24904,0.14996,1.50171,3.42323,1.01099,0.000276747,0.000276747,0.000276747
7,304.308,1.48149,1.76627,1.00606,1,0.09964,0.29197,0.17763,1.43449,3.2024,0.99674,0.000319384,0.000319384,0.000319384
8,347.49,1.38959,1.59781,0.99304,1,0.1617,0.36057,0.20371,1.40206,2.94525,0.99242,0.000360783,0.000360783,0.000360783
9,391.027,1.39431,1.50039,1.00284,0.86245,0.23141,0.39124,0.23496,1.39914,2.76818,0.99633,0.000400945,0.000400945,0.000400945
10,433.878,1.39778,1.45546,1.02228,0.89892,0.26326,0.4067,0.24675,1.30617,2.25627,0.98304,0.000439869,0.000439869,0.000439869
11,475.428,1.3618,1.40241,0.99164,0.78532,0.32818,0.42288,0.25874,1.28134,2.0427,0.97864,0.000438125,0.000438125,0.000438125
12,516.989,1.30363,1.41525,0.98345,0.67602,0.48219,0.4551,0.27317,1.26104,1.75565,0.96164,0.000431938,0.000431938,0.000431938
13,558.815,1.27276,1.2833,0.95566,0.57753,0.5419,0.46954,0.28573,1.2244,1.49456,0.95614,0.00042575,0.00042575,0.00042575
14,600.502,1.26485,1.3123,0.9879,0.57438,0.46662,0.47496,0.29559,1.22612,1.39235,0.95892,0.000419563,0.000419563,0.000419563
15,642.373,1.22597,1.22296,0.95264,0.73333,0.45927,0.48835,0.31164,1.18778,1.36827,0.95095,0.000413375,0.000413375,0.000413375
16,684.35,1.27175,1.23998,0.95677,0.79054,0.47609,0.52754,0.33078,1.20051,1.33535,0.95433,0.000407187,0.000407187,0.000407187
17,726.071,1.27324,1.22547,0.96305,0.56965,0.54806,0.54853,0.3256,1.24565,1.28687,0.96049,0.000401,0.000401,0.000401
18,768.037,1.2173,1.18756,0.95621,0.69414,0.62002,0.61312,0.37645,1.18825,1.1747,0.9508,0.000394813,0.000394813,0.000394813
19,809.809,1.2546,1.20313,0.98219,0.80155,0.57757,0.66056,0.39713,1.20149,1.17955,0.95054,0.000388625,0.000388625,0.000388625
20,853.659,1.24418,1.10272,0.95201,0.76828,0.68504,0.73447,0.44991,1.13122,1.09721,0.93942,0.000382438,0.000382438,0.000382438
21,901.952,1.22317,1.07601,0.9622,0.7932,0.67064,0.75353,0.46661,1.1242,1.07797,0.939,0.00037625,0.00037625,0.00037625
22,946.195,1.21078,1.06365,0.95014,0.83299,0.67869,0.77963,0.49227,1.12925,1.10597,0.93634,0.000370063,0.000370063,0.000370063
23,990.058,1.20067,1.04327,0.94142,0.79161,0.74778,0.8158,0.51838,1.11912,1.06425,0.93262,0.000363875,0.000363875,0.000363875
24,1034.07,1.17129,1.03488,0.94098,0.79276,0.77946,0.8433,0.53755,1.11693,1.02248,0.93288,0.000357687,0.000357687,0.000357687
25,1077.89,1.16352,1.03674,0.95872,0.79321,0.75992,0.82994,0.52787,1.11333,1.02616,0.93391,0.0003515,0.0003515,0.0003515
